subject,src,n_trials,score
sub66,picture9_neutral.jpg,2,13.5
sub67,picture10_neutral.jpg,1,11
sub67,picture1_neutral.jpg,1,12
sub67,picture1_threat.jpg,1,13
sub67,picture2_threat.jpg,1,13
sub67,picture3_threat.jpg,1,6
sub67,picture4_neutral.jpg,1,8
sub67,picture4_threat.jpg,1,2
sub67,picture6_neutral.jpg,1,10
sub67,picture7_neutral.jpg,1,6
sub67,picture8_neutral.jpg,1,1
sub68,picture1_neutral.jpg,1,1
sub68,picture1_threat.jpg,1,21
sub68,picture2_threat.jpg,1,1
sub68,picture3_neutral.jpg,1,1
sub68,picture3_threat.jpg,1,20
sub68,picture4_threat.jpg,1,13
sub68,picture6_neutral.jpg,1,18
sub68,picture7_neutral.jpg,1,17
sub68,picture8_neutral.jpg,1,22
sub68,picture9_neutral.jpg,1,22
sub69,picture10_neutral.jpg,1,3
sub69,picture1_neutral.jpg,1,5
sub69,picture1_threat.jpg,1,12
sub69,picture2_neutral.jpg,1,8
sub69,picture2_threat.jpg,1,12
sub69,picture3_neutral.jpg,1,11
sub69,picture3_threat.jpg,1,3
sub69,picture4_threat.jpg,1,6
sub69,picture7_neutral.jpg,1,8
sub69,picture8_neutral.jpg,1,10
sub7,picture10_neutral.jpg,1,10
sub7,picture1_neutral.jpg,1,1
sub7,picture1_threat.jpg,1,20
sub7,picture2_neutral.jpg,1,23
sub7,picture2_threat.jpg,1,23
sub7,picture3_threat.jpg,1,13
sub7,picture4_threat.jpg,1,17
