subject,trialCount,RT,acc,partResp,chosenNode,chosenImageFile,chosenCommunityNumber,chosenThreatStatus,option1CommunityNumber,option1ThreatStatus,option2CommunityNumber,option2ThreatStatus,option3CommunityNumber,option3ThreatStatus
sub6,31,2516,1,1,Node9,picture4.jpg,2,threat,2,threat,1,neutral,1,threat
sub6,32,2433,1,2,Node2,picture3.jpg,1,neutral,2,neutral,1,neutral,2,neutral
sub6,33,5082,1,1,Node9,picture4.jpg,2,threat,2,threat,1,threat,1,neutral
sub6,34,3019,1,3,Node6,picture1.jpg,2,neutral,1,threat,1,neutral,2,neutral
sub6,35,5503,1,3,Node10,picture4.jpg,2,neutral,1,neutral,1,threat,2,neutral
sub6,36,6951,1,2,Node8,picture9.jpg,2,neutral,1,threat,2,neutral,1,neutral
sub6,37,2224,1,1,Node4,picture7.jpg,1,neutral,1,neutral,2,neutral,2,neutral
sub6,38,2075,1,3,Node2,picture3.jpg,1,neutral,2,neutral,2,neutral,1,neutral
sub6,39,3972,1,3,Node9,picture4.jpg,2,threat,1,neutral,1,threat,2,threat
sub6,40,3910,1,3,Node4,picture7.jpg,1,neutral,2,neutral,2,neutral,1,neutral
sub6,41,2481,1,1,Node3,picture1.jpg,1,threat,1,threat,2,neutral,2,neutral
sub6,42,4226,1,1,Node4,picture7.jpg,1,neutral,1,neutral,2,neutral,2,neutral
sub6,43,3586,1,2,Node3,picture1.jpg,1,threat,2,neutral,1,threat,2,neutral
