subject,transition_threat,activeNodeThreatStatus,prevTrialThreatStatus,correct_rejections,false_alarms,hits,misses,dprime
sub81,no_threat,neutral,neutral,49,1,15,0,3.752241827755081
sub82,contains_threat,neutral,threat,48,1,11,3,2.6087068990328954
sub82,contains_threat,threat,neutral,58,2,2,0,2.706805723021257
sub82,contains_threat,threat,threat,6,0,6,0,2.9304675853710447
sub82,no_threat,neutral,neutral,44,0,17,1,3.698735530217144
sub83,contains_threat,neutral,threat,45,1,9,2,2.665584708507631
sub83,contains_threat,threat,neutral,46,1,9,1,2.9595354295151646
sub83,contains_threat,threat,threat,18,0,4,1,2.6124212610489104
sub83,no_threat,neutral,neutral,46,2,9,5,1.975734093889506
sub84,contains_threat,neutral,threat,42,0,7,0,3.8033263406375095
sub84,contains_threat,threat,neutral,39,0,10,0,3.9320243571898432
sub84,contains_threat,threat,threat,26,0,10,0,3.7759771956167265
sub84,no_threat,neutral,neutral,52,1,12,0,3.6833308635742625
sub85,contains_threat,neutral,threat,47,1,7,2,2.546360481063327
sub85,contains_threat,threat,neutral,42,1,12,2,2.791224843880544
sub85,contains_threat,threat,threat,18,0,8,1,2.974364900346618
sub85,no_threat,neutral,neutral,44,6,4,4,1.138523478460069
sub86,contains_threat,neutral,threat,49,0,6,1,3.213494433059717
sub86,contains_threat,threat,neutral,51,0,5,0,3.7240212647310855
sub86,contains_threat,threat,threat,10,0,7,0,3.2247421739374436
sub86,no_threat,neutral,neutral,48,2,20,0,3.6351871223375314
sub87,contains_threat,neutral,threat,57,0,9,0,4.026373096921953
sub87,contains_threat,threat,neutral,56,0,10,0,4.065728713779669
sub87,contains_threat,threat,threat,13,0,9,0,3.4475967176906614
sub87,no_threat,neutral,neutral,33,0,12,0,3.9467481076008895
sub88,contains_threat,neutral,threat,33,6,4,4,0.9842349604463249
sub88,contains_threat,threat,neutral,36,2,6,3,1.9065385128335015
sub88,contains_threat,threat,threat,21,0,7,1,2.967845135207681
sub88,no_threat,neutral,neutral,57,4,6,9,1.2196352147292495
sub89,contains_threat,neutral,threat,54,0,6,1,3.249041005603848
sub89,contains_threat,threat,neutral,47,0,13,0,4.113734428996609
sub89,contains_threat,threat,threat,11,1,8,0,2.7915985203299742
sub89,no_threat,neutral,neutral,46,0,11,1,3.5014196468967045
sub9,contains_threat,neutral,threat,49,5,6,1,2.168698124563477
